step,time_s,contact_force_N
0,0.002000,0.000000
1,0.004000,0.000000
2,0.006000,0.000000
3,0.008000,0.000000
4,0.010000,0.000000
5,0.012000,0.000000
6,0.014000,0.000000
7,0.016000,0.000000
8,0.018000,0.000000
9,0.020000,0.000000
10,0.022000,0.000000
11,0.024000,0.000000
12,0.026000,0.000000
13,0.028000,0.000000
14,0.030000,0.000000
15,0.032000,0.000000
16,0.034000,0.000000
17,0.036000,0.000000
18,0.038000,0.000000
19,0.040000,0.000000
20,0.042000,0.000000
21,0.044000,0.000000
22,0.046000,0.000000
23,0.048000,0.000000
24,0.050000,0.000000
25,0.052000,0.000000
26,0.054000,0.000000
27,0.056000,0.000000
28,0.058000,0.000000
29,0.060000,0.000000
30,0.062000,0.000000
31,0.064000,0.000000
32,0.066000,0.000000
33,0.068000,0.000000
34,0.070000,0.000000
35,0.072000,0.000000
36,0.074000,0.000000
37,0.076000,0.000000
38,0.078000,0.000000
39,0.080000,0.000000
40,0.082000,0.000000
41,0.084000,0.000000
42,0.086000,0.000000
43,0.088000,0.000000
44,0.090000,0.000000
45,0.092000,0.000000
46,0.094000,0.000000
47,0.096000,0.000000
48,0.098000,0.000000
49,0.100000,0.000000
50,0.102000,0.000000
51,0.104000,0.000000
52,0.106000,0.000000
53,0.108000,0.000000
54,0.110000,0.000000
55,0.112000,0.000000
56,0.114000,0.000000
57,0.116000,0.000000
58,0.118000,0.000000
59,0.120000,0.000000
60,0.122000,0.000000
61,0.124000,0.000000
62,0.126000,0.000000
63,0.128000,0.000000
64,0.130000,0.000000
65,0.132000,0.000000
66,0.134000,0.000000
67,0.136000,0.000000
68,0.138000,0.000000
69,0.140000,0.000000
70,0.142000,0.000000
71,0.144000,0.000000
72,0.146000,0.000000
73,0.148000,0.000000
74,0.150000,0.000000
75,0.152000,0.000000
76,0.154000,0.000000
77,0.156000,0.000000
78,0.158000,0.000000
79,0.160000,0.000000
80,0.162000,0.000000
81,0.164000,0.000000
82,0.166000,0.000000
83,0.168000,0.000000
84,0.170000,0.000000
85,0.172000,0.000000
86,0.174000,0.000000
87,0.176000,0.000000
88,0.178000,0.000000
89,0.180000,0.000000
90,0.182000,0.000000
91,0.184000,0.000000
92,0.186000,0.000000
93,0.188000,0.000000
94,0.190000,0.000000
95,0.192000,0.000000
96,0.194000,0.000000
97,0.196000,0.000000
98,0.198000,0.000000
99,0.200000,0.000000
100,0.202000,0.000000
101,0.204000,0.000000
102,0.206000,0.000000
103,0.208000,0.000000
104,0.210000,0.000000
105,0.212000,0.000000
106,0.214000,0.000000
107,0.216000,0.000000
108,0.218000,0.000000
109,0.220000,0.000000
110,0.222000,0.000000
111,0.224000,0.000000
112,0.226000,0.000000
113,0.228000,0.000000
114,0.230000,0.000000
115,0.232000,0.000000
116,0.234000,0.000000
117,0.236000,0.000000
118,0.238000,0.000000
119,0.240000,0.000000
120,0.242000,0.000000
121,0.244000,0.000000
122,0.246000,0.000000
123,0.248000,0.000000
124,0.250000,0.000000
125,0.252000,0.000000
126,0.254000,0.000000
127,0.256000,0.000000
128,0.258000,0.000000
129,0.260000,0.000000
130,0.262000,0.000000
131,0.264000,0.000000
132,0.266000,0.000000
133,0.268000,0.000000
134,0.270000,0.000000
135,0.272000,0.000000
136,0.274000,0.000000
137,0.276000,0.000000
138,0.278000,0.000000
139,0.280000,0.000000
140,0.282000,0.000000
141,0.284000,0.000000
142,0.286000,0.000000
143,0.288000,0.000000
144,0.290000,0.000000
145,0.292000,0.000000
146,0.294000,0.000000
147,0.296000,0.000000
148,0.298000,0.000000
149,0.300000,0.000000
150,0.302000,0.000000
151,0.304000,0.000000
152,0.306000,0.000000
153,0.308000,0.000000
154,0.310000,0.000000
155,0.312000,0.000000
156,0.314000,0.000000
157,0.316000,0.000000
158,0.318000,0.000000
159,0.320000,0.000000
160,0.322000,0.000000
161,0.324000,0.000000
162,0.326000,0.000000
163,0.328000,0.000000
164,0.330000,0.000000
165,0.332000,0.000000
166,0.334000,0.000000
167,0.336000,0.000000
168,0.338000,0.000000
169,0.340000,0.000000
170,0.342000,0.000000
171,0.344000,0.000000
172,0.346000,0.000000
173,0.348000,0.000000
174,0.350000,0.000000
175,0.352000,0.000000
176,0.354000,0.000000
177,0.356000,0.000000
178,0.358000,0.000000
179,0.360000,0.000000
180,0.362000,0.000000
181,0.364000,0.000000
182,0.366000,0.000000
183,0.368000,0.000000
184,0.370000,0.000000
185,0.372000,0.000000
186,0.374000,0.000000
187,0.376000,0.000000
188,0.378000,0.000000
189,0.380000,0.000000
190,0.382000,0.000000
191,0.384000,0.000000
192,0.386000,0.000000
193,0.388000,0.000000
194,0.390000,0.000000
195,0.392000,0.000000
196,0.394000,0.000000
197,0.396000,0.000000
198,0.398000,0.000000
199,0.400000,0.000000
200,0.402000,0.000000
201,0.404000,0.000000
202,0.406000,0.000000
203,0.408000,0.000000
204,0.410000,0.000000
205,0.412000,0.000000
206,0.414000,0.000000
207,0.416000,0.000000
208,0.418000,0.000000
209,0.420000,0.000000
210,0.422000,0.000000
211,0.424000,0.000000
212,0.426000,0.000000
213,0.428000,0.000000
214,0.430000,0.000000
215,0.432000,0.000000
216,0.434000,0.000000
217,0.436000,0.000000
218,0.438000,0.000000
219,0.440000,0.000000
220,0.442000,0.000000
221,0.444000,0.000000
222,0.446000,0.000000
223,0.448000,0.000000
224,0.450000,0.000000
225,0.452000,0.000000
226,0.454000,0.000000
227,0.456000,0.000000
228,0.458000,0.000000
229,0.460000,0.000000
230,0.462000,0.000000
231,0.464000,0.000000
232,0.466000,0.000000
233,0.468000,0.000000
234,0.470000,0.000000
235,0.472000,0.000000
236,0.474000,0.000000
237,0.476000,0.000000
238,0.478000,0.000000
239,0.480000,0.000000
240,0.482000,0.000000
241,0.484000,0.000000
242,0.486000,0.000000
243,0.488000,0.000000
244,0.490000,0.000000
245,0.492000,0.000000
246,0.494000,0.000000
247,0.496000,0.000000
248,0.498000,0.000000
249,0.500000,0.000000
250,0.502000,0.000000
251,0.504000,0.000000
252,0.506000,0.000000
253,0.508000,0.000000
254,0.510000,0.000000
255,0.512000,0.000000
256,0.514000,0.000000
257,0.516000,0.000000
258,0.518000,0.000000
259,0.520000,0.000000
260,0.522000,0.000000
261,0.524000,0.000000
262,0.526000,0.000000
263,0.528000,0.000000
264,0.530000,0.000000
265,0.532000,0.000000
266,0.534000,0.000000
267,0.536000,0.000000
268,0.538000,0.000000
269,0.540000,0.000000
270,0.542000,0.000000
271,0.544000,0.000000
272,0.546000,0.000000
273,0.548000,0.000000
274,0.550000,0.000000
275,0.552000,0.000000
276,0.554000,0.000000
277,0.556000,0.000000
278,0.558000,0.000000
279,0.560000,0.000000
280,0.562000,0.000000
281,0.564000,0.000000
282,0.566000,0.000000
283,0.568000,0.000000
284,0.570000,0.000000
285,0.572000,0.000000
286,0.574000,0.000000
287,0.576000,0.000000
288,0.578000,0.000000
289,0.580000,0.000000
290,0.582000,0.000000
291,0.584000,0.000000
292,0.586000,0.000000
293,0.588000,0.000000
294,0.590000,0.000000
295,0.592000,0.000000
296,0.594000,0.000000
297,0.596000,0.000000
298,0.598000,0.000000
299,0.600000,0.000000
300,0.602000,0.000000
301,0.604000,0.000000
302,0.606000,0.000000
303,0.608000,0.000000
304,0.610000,0.000000
305,0.612000,0.000000
306,0.614000,0.000000
307,0.616000,0.000000
308,0.618000,0.000000
309,0.620000,0.000000
310,0.622000,0.000000
311,0.624000,0.000000
312,0.626000,0.000000
313,0.628000,0.000000
314,0.630000,0.000000
315,0.632000,0.000000
316,0.634000,0.000000
317,0.636000,0.000000
318,0.638000,0.000000
319,0.640000,0.000000
320,0.642000,0.000000
321,0.644000,0.000000
322,0.646000,0.000000
323,0.648000,0.000000
324,0.650000,0.000000
325,0.652000,0.000000
326,0.654000,0.000000
327,0.656000,0.000000
328,0.658000,0.000000
329,0.660000,0.000000
330,0.662000,0.000000
331,0.664000,0.000000
332,0.666000,0.000000
333,0.668000,0.000000
334,0.670000,0.000000
335,0.672000,0.000000
336,0.674000,0.000000
337,0.676000,0.000000
338,0.678000,0.000000
339,0.680000,0.000000
340,0.682000,0.000000
341,0.684000,0.000000
342,0.686000,0.000000
343,0.688000,0.000000
344,0.690000,0.000000
345,0.692000,0.000000
346,0.694000,0.000000
347,0.696000,0.911836
348,0.698000,1.746756
349,0.700000,2.859686
350,0.702000,4.119412
351,0.704000,5.409994
352,0.706000,6.626424
353,0.708000,7.689553
354,0.710000,8.546916
355,0.712000,9.174897
356,0.714000,9.577336
357,0.716000,9.780083
358,0.718000,9.824416
359,0.720000,9.752926
360,0.722000,9.616784
361,0.724000,9.461553
362,0.726000,9.328732
363,0.728000,9.252725
364,0.730000,9.257894
365,0.732000,9.356749
366,0.734000,9.550155
367,0.736000,9.829336
368,0.738000,10.178773
369,0.740000,10.579226
370,0.742000,11.010452
371,0.744000,11.453404
372,0.746000,11.891856
373,0.748000,12.313434
374,0.750000,12.710097
375,0.752000,13.078111
376,0.754000,13.417615
377,0.756000,13.731890
378,0.758000,14.026449
379,0.760000,14.308083
380,0.762000,14.583965
381,0.764000,14.860883
382,0.766000,15.144659
383,0.768000,15.886052
384,0.770000,16.654346
385,0.772000,17.625366
386,0.774000,18.759802
387,0.776000,20.020852
388,0.778000,21.378795
389,0.780000,22.797154
390,0.782000,24.244644
391,0.784000,25.689818
392,0.786000,27.100760
393,0.788000,28.444504
394,0.790000,29.686739
395,0.792000,30.792548
396,0.794000,31.729196
397,0.796000,32.471724
398,0.798000,33.010511
399,0.800000,33.357151
400,0.802000,33.543664
401,0.804000,33.613161
402,0.806000,33.608214
403,0.808000,33.552200
404,0.810000,33.465109
405,0.812000,33.353482
406,0.814000,33.220608
407,0.816000,33.069093
408,0.818000,32.901912
409,0.820000,32.722602
410,0.822000,32.535121
411,0.824000,32.343584
412,0.826000,32.152020
413,0.828000,31.964196
414,0.830000,31.783495
415,0.832000,31.612854
416,0.834000,31.454736
